Affective analysis results:

Timeframe,Emotion,Frequency
2016_5_24_4-6,neutral,31083
2016_5_24_4-6,anger,963
2016_5_24_4-6,anxiety,84
2016_5_24_4-6,calm,2
2016_5_24_4-6,disgust,0
2016_5_24_4-6,enthusia,7988
2016_5_24_4-6,fear,0
2016_5_24_4-6,interest,66
2016_5_24_4-6,joy,683
2016_5_24_4-6,nervous,0
2016_5_24_4-6,rejection,0
2016_5_24_4-6,sadness,191
2016_5_24_4-6,shame,0
2016_5_24_4-6,surprise,0
2016_5_24_6-8,neutral,20578
2016_5_24_6-8,anger,520
2016_5_24_6-8,anxiety,63
2016_5_24_6-8,calm,1
2016_5_24_6-8,disgust,0
2016_5_24_6-8,enthusia,5592
2016_5_24_6-8,fear,0
2016_5_24_6-8,interest,37
2016_5_24_6-8,joy,730
2016_5_24_6-8,nervous,0
2016_5_24_6-8,rejection,0
2016_5_24_6-8,sadness,130
2016_5_24_6-8,shame,0
2016_5_24_6-8,surprise,0
2016_5_24_8-10,neutral,9452
2016_5_24_8-10,anger,247
2016_5_24_8-10,anxiety,25
2016_5_24_8-10,calm,1
2016_5_24_8-10,disgust,0
2016_5_24_8-10,enthusia,2601
2016_5_24_8-10,fear,0
2016_5_24_8-10,interest,30
2016_5_24_8-10,joy,189
2016_5_24_8-10,nervous,0
2016_5_24_8-10,rejection,0
2016_5_24_8-10,sadness,97
2016_5_24_8-10,shame,0
2016_5_24_8-10,surprise,0
2016_5_24_10-12,neutral,4859
2016_5_24_10-12,anger,109
2016_5_24_10-12,anxiety,20
2016_5_24_10-12,calm,0
2016_5_24_10-12,disgust,0
2016_5_24_10-12,enthusia,1331
2016_5_24_10-12,fear,0
2016_5_24_10-12,interest,11
2016_5_24_10-12,joy,79
2016_5_24_10-12,nervous,0
2016_5_24_10-12,rejection,0
2016_5_24_10-12,sadness,27
2016_5_24_10-12,shame,0
2016_5_24_10-12,surprise,0
2016_5_24_12-14,neutral,8365
2016_5_24_12-14,anger,205
2016_5_24_12-14,anxiety,17
2016_5_24_12-14,calm,1
2016_5_24_12-14,disgust,0
2016_5_24_12-14,enthusia,2075
2016_5_24_12-14,fear,0
2016_5_24_12-14,interest,33
2016_5_24_12-14,joy,177
2016_5_24_12-14,nervous,0
2016_5_24_12-14,rejection,0
2016_5_24_12-14,sadness,36
2016_5_24_12-14,shame,0
2016_5_24_12-14,surprise,0
2016_5_24_14-16,neutral,14543
2016_5_24_14-16,anger,439
2016_5_24_14-16,anxiety,42
2016_5_24_14-16,calm,3
2016_5_24_14-16,disgust,0
2016_5_24_14-16,enthusia,3649
2016_5_24_14-16,fear,0
2016_5_24_14-16,interest,53
2016_5_24_14-16,joy,341
2016_5_24_14-16,nervous,0
2016_5_24_14-16,rejection,0
2016_5_24_14-16,sadness,53
2016_5_24_14-16,shame,0
2016_5_24_14-16,surprise,0
2016_5_24_16-18,neutral,25017
2016_5_24_16-18,anger,836
2016_5_24_16-18,anxiety,84
2016_5_24_16-18,calm,1
2016_5_24_16-18,disgust,0
2016_5_24_16-18,enthusia,7340
2016_5_24_16-18,fear,0
2016_5_24_16-18,interest,44
2016_5_24_16-18,joy,584
2016_5_24_16-18,nervous,0
2016_5_24_16-18,rejection,0
2016_5_24_16-18,sadness,82
2016_5_24_16-18,shame,0
2016_5_24_16-18,surprise,0
2016_5_24_18-20,neutral,26345
2016_5_24_18-20,anger,818
2016_5_24_18-20,anxiety,96
2016_5_24_18-20,calm,0
2016_5_24_18-20,disgust,0
2016_5_24_18-20,enthusia,6801
2016_5_24_18-20,fear,0
2016_5_24_18-20,interest,76
2016_5_24_18-20,joy,615
2016_5_24_18-20,nervous,0
2016_5_24_18-20,rejection,0
2016_5_24_18-20,sadness,74
2016_5_24_18-20,shame,0
2016_5_24_18-20,surprise,0
2016_5_24_20-22,neutral,21793
2016_5_24_20-22,anger,658
2016_5_24_20-22,anxiety,52
2016_5_24_20-22,calm,0
2016_5_24_20-22,disgust,0
2016_5_24_20-22,enthusia,4687
2016_5_24_20-22,fear,0
2016_5_24_20-22,interest,58
2016_5_24_20-22,joy,392
2016_5_24_20-22,nervous,0
2016_5_24_20-22,rejection,0
2016_5_24_20-22,sadness,85
2016_5_24_20-22,shame,0
2016_5_24_20-22,surprise,0
2016_5_24_22-0,neutral,21174
2016_5_24_22-0,anger,594
2016_5_24_22-0,anxiety,75
2016_5_24_22-0,calm,1
2016_5_24_22-0,disgust,0
2016_5_24_22-0,enthusia,4829
2016_5_24_22-0,fear,0
2016_5_24_22-0,interest,52
2016_5_24_22-0,joy,464
2016_5_24_22-0,nervous,0
2016_5_24_22-0,rejection,0
2016_5_24_22-0,sadness,118
2016_5_24_22-0,shame,0
2016_5_24_22-0,surprise,0
2016_5_25_0-2,neutral,23477
2016_5_25_0-2,anger,554
2016_5_25_0-2,anxiety,66
2016_5_25_0-2,calm,2
2016_5_25_0-2,disgust,0
2016_5_25_0-2,enthusia,6319
2016_5_25_0-2,fear,0
2016_5_25_0-2,interest,60
2016_5_25_0-2,joy,477
2016_5_25_0-2,nervous,0
2016_5_25_0-2,rejection,0
2016_5_25_0-2,sadness,96
2016_5_25_0-2,shame,0
2016_5_25_0-2,surprise,0
2016_5_25_2-4,neutral,27008
2016_5_25_2-4,anger,847
2016_5_25_2-4,anxiety,97
2016_5_25_2-4,calm,2
2016_5_25_2-4,disgust,0
2016_5_25_2-4,enthusia,6769
2016_5_25_2-4,fear,0
2016_5_25_2-4,interest,50
2016_5_25_2-4,joy,554
2016_5_25_2-4,nervous,0
2016_5_25_2-4,rejection,0
2016_5_25_2-4,sadness,230
2016_5_25_2-4,shame,0
2016_5_25_2-4,surprise,0
2016_5_25_4-6,neutral,27381
2016_5_25_4-6,anger,749
2016_5_25_4-6,anxiety,88
2016_5_25_4-6,calm,3
2016_5_25_4-6,disgust,0
2016_5_25_4-6,enthusia,7633
2016_5_25_4-6,fear,0
2016_5_25_4-6,interest,48
2016_5_25_4-6,joy,700
2016_5_25_4-6,nervous,0
2016_5_25_4-6,rejection,0
2016_5_25_4-6,sadness,139
2016_5_25_4-6,shame,0
2016_5_25_4-6,surprise,0
2016_5_25_6-8,neutral,21127
2016_5_25_6-8,anger,525
2016_5_25_6-8,anxiety,41
2016_5_25_6-8,calm,1
2016_5_25_6-8,disgust,0
2016_5_25_6-8,enthusia,6337
2016_5_25_6-8,fear,0
2016_5_25_6-8,interest,36
2016_5_25_6-8,joy,1915
2016_5_25_6-8,nervous,0
2016_5_25_6-8,rejection,0
2016_5_25_6-8,sadness,47
2016_5_25_6-8,shame,0
2016_5_25_6-8,surprise,0
2016_5_25_8-10,neutral,13021
2016_5_25_8-10,anger,433
2016_5_25_8-10,anxiety,32
2016_5_25_8-10,calm,1
2016_5_25_8-10,disgust,0
2016_5_25_8-10,enthusia,5197
2016_5_25_8-10,fear,0
2016_5_25_8-10,interest,18
2016_5_25_8-10,joy,434
2016_5_25_8-10,nervous,0
2016_5_25_8-10,rejection,0
2016_5_25_8-10,sadness,62
2016_5_25_8-10,shame,0
2016_5_25_8-10,surprise,0
2016_5_25_10-12,neutral,5854
2016_5_25_10-12,anger,162
2016_5_25_10-12,anxiety,17
